#period	period time	calc time
1	2742	1000
2	2498	757
3	2498	1250
4	2999	999
5	2246	1002
6	2503	1748
7	2493	1001
8	2499	1000
9	2497	1251
10	2249	1002
11	2747	1001
12	2504	1246
13	2492	1251
14	2499	1000
15	2498	1001
16	2499	1249
17	2505	999
18	2495	998
19	2493	1001
20	2501	1248
21	2495	1001
22	2498	1000
23	2498	1001
24	2499	1253
25	2498	1000
26	2497	1014
27	2498	1251
28	2501	1249
29	2500	1246
30	2492	1020
31	2496	1254
32	2499	1253
33	2500	1250
34	2495	1004
35	2500	1251
36	2500	1255
37	2499	1250
38	2497	1000
39	2498	1248
40	2755	1243
41	2241	1249
42	2498	1008
43	2497	1251
44	2499	1499
45	2496	1251
46	2500	998
47	2496	1251
48	2499	1507
49	2498	1250
50	2497	1002
51	2498	1251
52	2500	1499
53	2496	1251
54	2498	1006
55	2498	1252
56	2750	999
57	2246	1251
58	2498	1001
59	2499	1251
60	2747	1005
61	2249	1263
62	2499	1000
63	2496	1247
64	2500	1000
65	2496	1249
66	2752	1248
67	2244	1249
68	2749	999
69	2246	1251
70	2498	1001
71	2498	1252
72	2503	997
73	2493	1251
74	2498	1001
75	2498	1251
76	2500	999
77	2496	1001
78	2502	998
79	2495	1251
80	2500	1000
81	2497	1001
82	2498	1000
83	2505	1252
84	2495	998
85	2495	1251
86	2498	1001
87	2498	1251
88	2500	999
89	2496	1007
90	2498	1001
91	2498	1251
92	2750	1249
93	2246	1000
94	2498	1001
95	2497	1256
96	2500	1012
97	2494	1006
98	2497	1005
99	2500	1252
100	2500	1000
101	2502	998
102	2744	1250
103	2248	1251
104	2497	1002
105	2499	1001
106	2500	999
107	2500	1247
108	2498	997
109	2494	1000
110	2500	998
111	2495	1251
112	2499	1000
113	2501	998
114	2497	1002
115	2495	1251
116	2500	999
117	2496	1001
118	2499	1001
119	2501	1249
120	2497	1000
121	2496	1001
122	2498	999
123	2496	1251
124	2507	995
125	2492	1251
126	2497	1001
127	2498	1251
128	2500	999
129	2496	1001
130	2748	1251
131	2248	1254
132	2747	752
133	2249	1252
134	2498	1001
135	2497	1249
136	2499	1000
137	2497	1251
138	2744	754
139	2251	1251
140	2500	1000
141	2496	1253
142	2754	995
143	2242	1252
144	2500	999
145	2496	1251
146	2748	752
147	2248	1252
148	2750	1001
149	2497	1001
150	2498	1001
151	2247	1251
152	2750	1000
153	2247	1250
154	2748	1501
155	2497	1001
156	2250	1500
157	2746	1001
158	2498	1001
159	2498	1002
160	2500	1250
161	2497	1001
162	2497	752
163	2499	1001
164	2500	1261
165	2504	992
166	2492	1000
167	2496	1002
168	2500	1249
169	2497	1001
170	2497	1002
171	2498	1001
172	2500	1247
173	2497	1000
174	2498	1001
175	2497	1002
176	2500	1250
177	2497	1001
178	2497	1002
179	2498	1001
180	2500	1251
181	2497	1001
182	2498	1001
183	2498	1002
184	2499	1251
185	2498	1000
186	2497	1001
187	2497	1001
188	2501	1249
189	2497	1000
190	2498	1000
191	2497	1251
192	2500	1249
193	2497	1001
194	2498	1002
195	2499	1001
196	2499	1249
197	2496	1250
198	2505	995
199	2491	1251
